Rank,Name,Industry,Revenue (USD millions),Revenue growth,Employees,Headquarters city,Headquarters state
32,Bank of America,Financials,115053,22.6,216823,Charlotte,North Carolina
33,Target Corporation,Retail,109120,2.9,440000,Minneapolis,Minnesota
34,Dell Technologies,Technology,102301,-4.4,133000,Round Rock,Texas
35,Archer Daniels Midland,Food industry,101556,19.1,41181,Chicago,Illinois
36,Citigroup,Financials,101078,26.6,238104,New York City,New York
37,United Parcel Service,Transportation,100338,3.1,404700,Atlanta,Georgia
38,Pfizer,Pharmaceutical industry,100330,23.4,83000,New York City,New York
39,Lowe's,Retail,97059,0.8,244500,Mooresville,North Carolina
40,Johnson & Johnson,Pharmaceutical industry,94943,1.2,152700,New Brunswick,New Jersey
41,FedEx,Transportation,93512,11.4,518249,Memphis,Tennessee
42,Humana,Health Insurance,92870,11.8,67100,Louisville,Kentucky
43,Energy Transfer Partners,Petroleum industry,89876,33.3,12565,Dallas,Texas
44,State Farm,Financials,89328,8.6,60519,Bloomington,Illinois
45,Freddie Mac,Financials,86717,31.6,7819,McLean,Virginia
46,PepsiCo,Beverage,86859,8.7,315000,Purchase,New York
47,Wells Fargo,Financials,82859,0.5,238000,San Francisco,California
48,The Walt Disney Company,Media,82722,22.7,195800,Burbank,California
49,ConocoPhillips,Petroleum industry,82156,69.9,9500,Houston,Texas
50,Tesla,Automotive and Energy,81462,51.4,127855,Austin,Texas
51,Procter & Gamble,Consumer products Manufacturing,80187,5.3,106000,Cincinnati,Ohio
52,United States Postal Service,Logistics,78620,2.0,576000,Washington,D.C.
53,Albertsons,Retail,77650,8.0,198650,Boise,Idaho
54,General Electric,Conglomerate,76555,3.2,172000,Boston,Massachusetts
55,MetLife,Financials,69898,-1.7,45000,New York City,New York
56,Goldman Sachs,Financials,68711,5.7,48500,New York City,New York
57,Sysco,Food Service,68636,33.8,70510,Houston,Texas
58,Bunge Limited,Food industry,67232,13.7,23000,White Plains,New York
59,RTX Corporation,Conglomerate,67074,4.2,182000,Arlington County,Virginia
60,Boeing,Aerospace and defense,66608,6.9,156000,Arlington County,Virginia
61,StoneX Group,Financials,66036,55.3,305,New York City,New York
62,Lockheed Martin,Aerospace and Defense,65984,-1.6,116000,Bethesda,Maryland
63,Morgan Stanley,Financials,65936,7.9,82427,New York City,New York
64,Intel,Technology,63054,-20.1,131900,Santa Clara,California
65,HP,Technology,62983,-0.8,58000,Palo Alto,California
66,TD Synnex,Infotech,62344,97.2,28500,Clearwater,Florida
67,IBM,Technology and Cloud Computing,60530,-16.3,303100,Armonk,New York
68,HCA Healthcare,Healthcare,60233,2.5,250500,Nashville,Tennessee
69,Prudential Financial,Financials,60050,-15.3,39583,Newark,New Jersey
70,Caterpillar,Machinery,59427,16.6,109100,Deerfield,Illinois
71,Merck & Co.,Pharmaceutical industry,59283,15.8,68000,Kenilworth,New Jersey
72,World Fuel Services,Petroleum industry and Logistics,59043,88.4,5214,Miami,Florida
73,New York Life Insurance Company,Insurance,58445,14.2,15050,New York City,New York
74,Enterprise Products,Petroleum industry,58186,42.6,7300,Houston,Texas
75,AbbVie,Pharmaceutical industry,58054,3.3,50000,Lake Bluff,Illinois
76,Plains All American Pipeline,Petroleum industry,57342,36.3,4100,Houston,Texas
77,Dow Chemical Company,Chemical industry,56902,3.5,37800,Midland,Michigan
78,AIG,Insurance,56437,8.4,26200,New York City,New York
79,American Express,Financial,55625,27.3,77300,New York City,New York
80,Publix,Retail,54942,13.5,242000,Lakeland,Florida
81,Charter Communications,Telecommunications,54022,4.5,101700,Stamford,Connecticut
82,Tyson Foods,Food Processing,53282,13.2,142000,Springdale,Arkansas
83,John Deere,Agriculture manufacturing,52577,19.4,82239,Moline,Illinois
84,Cisco,Telecom Hardware Manufacturing,51557,3.5,83300,San Jose,California
85,Nationwide Mutual Insurance Company,Financial,51450,8.6,24791,Columbus,Ohio
86,Allstate,Insurance,51412,-3.4,54250,Northfield Township,Illinois
87,Delta Air Lines,Airline,50582,69.2,95000,Atlanta,Georgia
88,Liberty Mutual,Insurance,49956,3.6,50000,Boston,Massachusetts
89,TJX,Retail,49936,2.9,329000,Framingham,Massachusetts
90,Progressive Corporation,Insurance,49611,4.0,55063,Mayfield Village,Ohio
91,American Airlines,Airline,48971,63.9,129700,Fort Worth,Texas
92,CHS,Agriculture cooperative,47194,24.3,10014,Inver Grove Heights,Minnesota
93,Performance Food Group,Food Processing,47194,61.6,34825,Richmond,Virginia
94,PBF Energy,Petroleum industry,46830,71.8,3616,Parsippany–Troy Hills,New Jersey
95,Nike,Apparel,46710,4.9,79100,Beaverton,Oregon
96,Best Buy,Retail,46298,-10.6,71100,Richfield,Minnesota
97,Bristol-Myers Squibb,Pharmaceutical industry,46159,-0.5,34300,New York City,New York
98,United Airlines,Airline,44955,82.5,92795,Chicago,Illinois
99,Thermo Fisher Scientific,Laboratory instruments,44915,14.5,130000,Waltham,Massachusetts
100,Qualcomm,Technology,44200,31.7,51000,San Diego,California
